Disease,Diagnosis_treatment
Broken arm,"Your doctor will examine your arm for tenderness, swelling, deformity or an open wound. After discussing your symptoms and how you injured yourself, your doctor likely will order X-rays to determine the location and extent of the break. Occasionally, another scan, such as an MRI, might be used to get more-detailed images.
Treatment of a broken arm depends on the type of break. The time needed for healing depends on a variety of factors, including severity of the injury; other conditions, such as diabetes; your age; nutrition; and tobacco and alcohol use.
Fractures are classified into one or more of the following categories:
If you have a displaced fracture, your doctor might need to move the pieces back into position (reduction). Depending on the amount of pain and swelling you have, you might need a muscle relaxant, a sedative or even a general anesthetic before this procedure.
Restricting movement of a broken bone, which requires a splint, sling, brace or cast, is critical to healing. Before applying a cast, your doctor will likely wait until the swelling goes down, usually five to seven days after injury. In the meantime, you'll likely wear a splint.
Your doctor might ask you to return for X-rays during the healing process to make sure the bones haven't shifted.
To reduce pain and inflammation, your doctor might recommend an over-the-counter pain reliever. If your pain is severe, you may need a prescription medication that contains a narcotic for a few days.
Nonsteroidal anti-inflammatory drugs can help with pain but might also hamper bone healing, especially if used long term. Ask your doctor if you can take them for pain relief.
If you have an open fracture, in which you have a wound or break in the skin near the wound site, you'll likely be given an antibiotic to prevent infection that could reach the bone.
Rehabilitation begins soon after initial treatment. In most cases, it's important, if possible, to begin some motion to minimize stiffness in your arm, hand and shoulder while you're wearing your cast or sling.
After your cast or sling is removed, your doctor might recommend additional rehabilitation exercises or physical therapy to restore muscle strength, joint motion and flexibility.
Surgery is required to stabilize some fractures. If the fracture didn't break the skin, your doctor might wait to do surgery until the swelling has gone down. Keeping your arm from moving and elevating it will decrease swelling.
Fixation devices — such as wires, plates, nails or screws — might be needed to hold your bones in place during healing. Complications are rare, but can include infection and lack of bone healing.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_8_ctLink_8"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20310663"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Depending on the severity of the break, your family doctor or the emergency room physician might refer you or your child to a doctor who specializes in injuries of the body's musculoskeletal system (orthopedic surgeon).
Make a list that includes:
For a broken arm, questions to ask your doctor include:
Don't hesitate to ask other questions.
Your doctor is likely to ask you questions, including:"
Castleman disease,"After a thorough physical exam, your doctor may recommend:
Treatment depends on the type of Castleman disease you have.
Unicentric Castleman disease can be cured by surgically removing the diseased lymph node. If the lymph node is in your chest or abdomen — which is often the case — major surgery may be required.
If surgical removal isn't possible, medication may be used to shrink the lymph node. Radiation therapy also may be an effective way to destroy the affected tissue.
You'll need follow-up exams, including imaging, to check for relapse.
Treatment for multicentric Castleman disease generally involves medications and other therapies to control cell overgrowth. Specific treatment depends on the extent of your disease and on whether you have HIV or HHV-8 infection or both.
Treatment options for multicentric Castleman disease may include:
You may be referred to a doctor who specializes in treating blood disorders (hematologist).
In addition to the questions that you've prepared to ask your doctor, don't hesitate to ask other questions during your appointment.
Your doctor is likely to ask you a number of questions. Being ready to answer them may make time to go over points you want to spend more time on. You may be asked:"
Frozen shoulder,"During the physical exam, your doctor may ask you to move in certain ways to check for pain and evaluate your range of motion (active range of motion). Your doctor might then ask you to relax your muscles while he or she moves your arm (passive range of motion). Frozen shoulder affects both active and passive range of motion.
In some cases, your doctor might inject your shoulder with a numbing medicine (anesthetic) to determine your passive and active range of motion.
Frozen shoulder can usually be diagnosed from signs and symptoms alone. But your doctor may suggest imaging tests — such as X-rays or an MRI — to rule out other problems.
These exercises may improve your shoulder's range of motion. Let your arm hang down like a pendulum, and then gently swing it back and forth or in circles. Pretend your fingers are your feet and walk your fingers up a wall.
Most frozen shoulder treatment involves controlling shoulder pain and preserving as much range of motion in the shoulder as possible.
Over-the-counter pain relievers, such as aspirin and ibuprofen (Advil, Motrin IB, others), can help reduce pain and inflammation associated with frozen shoulder. In some cases, your doctor may prescribe stronger pain-relieving and anti-inflammatory drugs.
A physical therapist can teach you range-of-motion exercises to help recover as much mobility in your shoulder as possible. Your commitment to doing these exercises is important to optimize recovery of your mobility.
Most frozen shoulders get better on their own within 12 to 18 months. For persistent symptoms, your doctor may suggest:
Continue to use the involved shoulder and extremity as much as possible given your pain and range-of-motion limits. Applying heat or cold to your shoulder can help relieve pain.
Acupuncture involves inserting extremely fine needles in your skin at specific points on your body. Typically, the needles remain in place for 15 to 40 minutes. During that time they may be moved or manipulated. Because the needles are hair thin and flexible and are generally inserted superficially, most acupuncture treatments are relatively painless.
A TENS unit delivers a tiny electrical current to key points on a nerve pathway. The current, delivered through electrodes taped to your skin, isn't painful or harmful. It's not known exactly how TENS works, but it's thought that it might stimulate the release of pain-inhibiting molecules (endorphins) or block pain fibers that carry pain impulses.
While you might first consult your family physician, he or she may refer you to a doctor who specializes in orthopedic medicine.
Before your appointment, you may want to write down:
Your doctor may ask some of the following questions:"
Autoimmune hepatitis,"A liver biopsy is a procedure to remove a small sample of liver tissue for laboratory testing. A liver biopsy is commonly performed by inserting a thin needle through your skin and into your liver.
Tests and procedures used to diagnose autoimmune hepatitis include:
Regardless of which type of autoimmune hepatitis you have, the goal of treatment is to slow or stop the immune system attack on your liver. This may help slow the progression of the disease. To meet this goal, you'll need medications that lower immune system activity. The initial treatment is usually prednisone. A second medication, azathioprine (Azasan, Imuran), may be recommended in addition to prednisone.
Prednisone, especially when taken long term, can cause a wide range of serious side effects, including diabetes, thinning bones (osteoporosis), broken bones (osteonecrosis), high blood pressure, cataracts, glaucoma and weight gain.
Doctors typically prescribe prednisone at a high dose for about the first month of treatment. Then, to reduce the risk of side effects, they gradually reduce the dose over the next several months until reaching the lowest possible dose that controls the disease. Adding azathioprine also helps you avoid prednisone side effects.
Most people need to continue taking the prednisone for at least 18 to 24 months, and many remain on it for life. Although you may experience remission a few years after starting treatment, the disease often returns if the drug is discontinued.
When medications don't halt the progress of the disease or you develop irreversible scarring (cirrhosis) or liver failure, the remaining option is a liver transplant.
During a liver transplant, your diseased liver is removed and replaced with a healthy liver from a donor. Liver transplants most often use livers from deceased organ donors. In some cases, a living-donor liver transplant can be used. During a living-donor liver transplant, you receive only a portion of a healthy liver from a living donor. Both livers begin regenerating new cells almost immediately.
If you have any signs or symptoms that worry you, start by making an appointment with your primary care doctor. If your doctor suspects you may have autoimmune hepatitis, you may be referred to a specialist in liver diseases (hepatologist).
Because appointments can be brief and there's often a lot to discuss, it's a good idea to be prepared for your appointment. Here's some information to help you get ready and know what to expect from your doctor.
For autoimmune hepatitis, some basic questions to ask your doctor include:
Your doctor is likely to ask you a number of questions. Being ready to answer them may reserve time to go over any points you want to spend more time on. Your doctor may ask:"
Reactive attachment disorder,"A pediatric psychiatrist or psychologist can conduct a thorough, in-depth examination to diagnose reactive attachment disorder.
Your child's evaluation may include:
Your child's doctor will also want to rule out other psychiatric disorders and determine if any other mental health conditions co-exist, such as:
Your doctor may use the diagnostic criteria for reactive attachment disorder in the DSM-5, published by the American Psychiatric Association. Diagnosis isn't usually made before 9 months of age. Signs and symptoms appear before the age of 5 years.
Criteria include:
Children with reactive attachment disorder are believed to have the capacity to form attachments, but this ability has been hindered by their experiences.
Most children are naturally resilient. And even those who've been neglected, lived in a children's home or other institution, or had multiple caregivers can develop healthy relationships. Early intervention appears to improve outcomes.
There's no standard treatment for reactive attachment disorder, but it should involve both the child and parents or primary caregivers. Goals of treatment are to help ensure that the child:
Treatment strategies include:
Other services that may benefit the child and the family include:
The American Academy of Child and Adolescent Psychiatry and the American Psychiatric Association have criticized dangerous and unproven treatment techniques for reactive attachment disorder.
These techniques include any type of physical restraint or force to break down what's believed to be the child's resistance to attachments — an unproven theory of the cause of reactive attachment disorder. There is no scientific evidence to support these controversial practices, which can be psychologically and physically damaging and have led to accidental deaths.
If you're considering any kind of unconventional treatment, talk to your child's psychiatrist or psychologist first to make sure it's evidence based and not harmful.
If you're a parent or caregiver whose child has reactive attachment disorder, it's easy to become angry, frustrated and distressed. You may feel like your child doesn't love you — or that it's hard to like your child sometimes.
These actions may help:
You may start by visiting your child's pediatrician. However, you may be referred to a child psychiatrist or psychologist who specializes in the diagnosis and treatment of reactive attachment disorder or a pediatrician specializing in child development.
Here's some information to help you get ready and know what to expect from your doctor.
Before your appointment, make a list of:
Some basic questions to ask your doctor may include:
Your child's doctor or mental health provider is likely to ask you a number of questions. Be ready to answer them to reserve time to go over any points you want to spend more time on.
Some questions the doctor may ask include:"
Age spots (liver spots),"Diagnosing age spots may include:
Skin biopsy. Your doctor may do other tests, such as a skin biopsy, to help distinguish an age spot from other conditions, such as lentigo maligna, a type of skin cancer.
During a skin biopsy, your doctor takes a small sample of your skin (biopsy) for microscopic analysis. A skin biopsy is usually done in a doctor's office, using a local anesthetic.
If you want your age spots to be less noticeable, treatments are available to lighten or remove them. Since the pigment is located at the base of the epidermis — the topmost layer of skin — any treatments meant to lighten the age spots must penetrate this layer of skin.
Age spot treatments include:
Laser and intense pulsed light therapy. Laser and intense pulsed light therapies destroy melanin-producing cells (melanocytes) without damaging the skin's surface. Treatments with a laser or intense pulsed light typically require two to three sessions.
After treatment, age spots fade gradually over several weeks or months. Laser therapy has few side effects, but it may result in slight discoloration of the skin. Sun protection is necessary after laser or intense pulsed light therapy.
Dermabrasion and microdermabrasion. Dermabrasion consists of sanding down (planing) the surface layer of your skin with a rapidly rotating brush. This procedure removes the skin surface, and a new layer of skin grows in its place. You may need to undergo the procedure more than once. Temporary redness and scab formation can result from this treatment.
Microdermabrasion is a less aggressive approach that leaves mild skin blemishes with a smoother appearance. You'll need a series of procedures over months to get the full effect. If you have rosacea or tiny red veins on your face, this technique could make the condition worse.
Because age spot treatments are considered cosmetic, your insurance may not pay for them. And because the procedures can have side effects, discuss your options carefully with a doctor who specializes in skin conditions (dermatologist). Also, make sure your dermatologist is specially trained and experienced in the technique you're considering.
Many fade creams and lotions for lightening age spots are available in department stores, in drugstores and on the internet. These may improve the appearance of age spots, depending on how dark the spots are and how often you apply the cream. Regular use over several weeks or months may be necessary to produce noticeable results.
If you opt for an over-the-counter (nonprescription) fade cream, choose one that contains hydroquinone, glycolic acid or kojic acid. Note that some products, especially those that contain hydroquinone, may cause skin irritation.
You could also apply makeup to help make age spots less noticeable.
You're likely to start by seeing your primary care doctor. He or she may refer you to a dermatologist.
Your doctor is likely to ask you a number of questions, such as:
Questions you may want to ask your doctor include:"
Osteoarthritis,"During the physical exam, your doctor will check your affected joint for tenderness, swelling, redness and flexibility.
To get pictures of the affected joint, your doctor might recommend:
Analyzing your blood or joint fluid can help confirm the diagnosis.
Osteoarthritis can't be reversed, but treatments can reduce pain and help you move better.
Medications that can help relieve osteoarthritis symptoms, primarily pain, include:
Nonsteroidal anti-inflammatory drugs (NSAIDs). Over-the-counter <abbr title=""nonsteroidal anti-inflammatory drugs"">NSAIDs</abbr>, such as ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve, others), taken at the recommended doses, typically relieve osteoarthritis pain. Stronger <abbr title=""nonsteroidal anti-inflammatory drugs"">NSAIDs</abbr> are available by prescription.
<abbr title=""Nonsteroidal anti-inflammatory drugs"">NSAIDs</abbr> can cause stomach upset, cardiovascular problems, bleeding problems, and liver and kidney damage. <abbr title=""Nonsteroidal anti-inflammatory drugs"">NSAIDs</abbr> as gels, applied to the skin over the affected joint, have fewer side effects and may relieve pain just as well.
For some people, arthritis damages one side of the knee more than the other side. This can cause your knee to bow inward or outward. Removing or adding a wedge of bone in your upper shinbone or lower thighbone can help straighten out this bowing and shift your weight to the undamaged part of your knee joint.
Hip prostheses are designed to mimic the ball-and-socket action of your hip joint. During hip replacement surgery, your surgeon removes the diseased or damaged parts of your hip joint and inserts the artificial joint.
One of the most common reasons for knee replacement surgery is severe pain from joint damage caused by wear-and-tear arthritis (osteoarthritis). Osteoarthritis can erode the slick cartilage that helps your knee joint move smoothly. An artificial knee joint has metal alloy caps for your thighbone and shinbone, and high-density plastic to replace damaged cartilage.
If conservative treatments don't help, you may want to consider procedures such as:
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_8_ctLink_8"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20164394"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Learn all you can about your condition and how to manage it, especially about how lifestyle changes can affect your symptoms. Exercising and losing weight if you're overweight are important ways to lessen the joint pain and stiffness of osteoarthritis.
Exercise. Low-impact exercise can increase your endurance and strengthen the muscles around your joint, making your joint more stable. Try walking, bicycling or water aerobics. If you feel new joint pain, stop.
New pain that lasts for hours after you exercise probably means you've overdone it, not that you've caused damage or that you should stop exercising. Try again a day or two later at a lower level of intensity.
Other things to try include:
Movement therapies. Tai chi and yoga involve gentle exercises and stretches combined with deep breathing. Many people use these therapies to reduce stress in their lives, and research suggests that tai chi and yoga might reduce osteoarthritis pain and improve movement.
Make sure the yoga you choose is a gentle form and that your instructor knows which of your joints are affected. Avoid moves that cause pain in your joints.
Assistive devices. Assistive devices can help relieve stress on your joints. A cane takes weight off your knee or hip as you walk. Hold the cane in the hand opposite the leg that hurts.
Gripping and grabbing tools may make it easier to work in the kitchen if you have osteoarthritis in your fingers. Check catalogs or medical supply stores or ask your doctor or occupational therapist about assistive devices.
Complementary and alternative medicine treatments that have shown promise for osteoarthritis include:
Talk to your doctor about supplements you're considering.
Your ability to cope despite pain and disability caused by osteoarthritis often determines how much of an impact osteoarthritis will have on your life. Talk to your doctor if you're feeling frustrated, because he or she may have ideas about how to cope or refer you to someone who can help.
You might start by seeing your primary care doctor, who might refer you to a doctor who specializes in joint disorders (rheumatologist) or orthopedic surgery.
Make a list that includes:
Your doctor might ask some of the following questions:"
Heart arrhythmias,"To diagnose a heart arrhythmia, your doctor will review your symptoms and your medical history and conduct a physical examination. Your doctor may ask about — or test for — conditions that may trigger your arrhythmia, such as heart disease or a problem with your thyroid gland. Your doctor may also perform heart-monitoring tests specific to arrhythmias. These may include:
If your doctor doesn't find an arrhythmia during those tests, he or she may try to trigger your arrhythmia with other tests, which may include:
Electrophysiological testing and mapping. In this test, doctors thread thin, flexible tubes (catheters) tipped with electrodes through your blood vessels to a variety of spots within your heart. Once in place, the electrodes can map the spread of electrical impulses through your heart.
In addition, your cardiologist can use the electrodes to stimulate your heart to beat at rates that may trigger — or halt — an arrhythmia. This allows your doctor to see the location of the arrhythmia, what may be causing it and what treatments may help. Your doctor may also use this test to assess the likelihood that you will develop an arrhythmia if you have certain conditions that increase your risk.
If you have an arrhythmia, treatment may or may not be necessary. Usually, it's required only if the arrhythmia is causing significant symptoms or if it's putting you at risk of a more serious arrhythmia or arrhythmia complication.
If slow heartbeats (bradycardias) don't have a cause that can be corrected, doctors often treat them with a pacemaker because there aren't any medications that can reliably speed up the heart.
A pacemaker is a small device that's usually implanted near your collarbone. One or more electrode-tipped wires run from the pacemaker through your blood vessels to your inner heart. If your heart rate is too slow or if it stops, the pacemaker sends out electrical impulses that stimulate your heart to beat at a steady rate.
In catheter ablation, catheters are threaded through the blood vessels to the inner heart, and electrodes at the catheter tips map the spread of electrical impulses through the heart. Electrodes at the catheter tips transmit energy to destroy a small spot of heart tissue and create an electrical block along the pathway that's causing your arrhythmia.
For fast heartbeats (tachycardias), treatments may include one or more of the following:
Vagal maneuvers. You may be able to stop an arrhythmia that begins above the lower half of your heart (supraventricular tachycardia) by using particular maneuvers that include holding your breath and straining, dunking your face in ice water, or coughing.
These maneuvers affect the nervous system that controls your heartbeat (vagus nerves), often causing your heart rate to slow. However, vagal maneuvers don't work for all types of arrhythmias.
Medications. For many types of tachycardia, you may be prescribed medication to control your heart rate or restore a normal heart rhythm. It's very important to take any anti-arrhythmic medication exactly as directed by your doctor in order to minimize complications.
If you have atrial fibrillation, your doctor may prescribe blood-thinning medications to help keep dangerous blood clots from forming.
Cardioversion. If you have a certain type of arrhythmia, such as atrial fibrillation, your doctor may use cardioversion, which can be conducted as a procedure or by using medications.
In the procedure, a shock is delivered to your heart through paddles or patches on your chest. The current affects the electrical impulses in your heart and can restore a normal rhythm.
A dual chamber pacemaker paces the atrium and ventricle. A biventricular pacemaker paces both ventricles. An implantable cardioverter-defibrillator can function as a pacemaker would. In addition, if it detects ventricular tachycardia or ventricular fibrillation, it sends out a shock to reset the heart to a normal rhythm.
Treatment for heart arrhythmias also may involve use of an implantable device:
Pacemaker. A pacemaker is an implantable device that helps control abnormal heart rhythms. A small device is placed under the skin near the collarbone in a minor surgical procedure. An insulated wire extends from the device to the heart, where it's permanently anchored.
If a pacemaker detects a heart rate that's abnormal, it emits electrical impulses that stimulate your heart to beat at a normal rate.
Implantable cardioverter-defibrillator (ICD). Your doctor may recommend this device if you're at high risk of developing a dangerously fast or irregular heartbeat in the lower half of your heart (ventricular tachycardia or ventricular fibrillation). If you have had sudden cardiac arrest or have certain heart conditions that increase your risk of sudden cardiac arrest, your doctor may also recommend an <abbr title=""Implantable cardioverter-defibrillator"">ICD</abbr>.
An <abbr title=""Implantable cardioverter-defibrillator"">ICD</abbr> is a battery-powered unit that's implanted under the skin near the collarbone — similar to a pacemaker. One or more electrode-tipped wires from the <abbr title=""Implantable cardioverter-defibrillator"">ICD</abbr> run through veins to the heart. The <abbr title=""Implantable cardioverter-defibrillator"">ICD</abbr> continuously monitors your heart rhythm.
If it detects an abnormal heart rhythm, it sends out low- or high-energy shocks to reset the heart to a normal rhythm. An <abbr title=""Implantable cardioverter-defibrillator"">ICD</abbr> doesn't prevent an abnormal heart rhythm from occurring, but it treats it if it occurs.
In some cases, surgery may be the recommended treatment for heart arrhythmias:
Maze procedure. In the maze procedure, a surgeon makes a series of surgical incisions in the heart tissue in the upper half of your heart (atria) to create a pattern or maze of scar tissue. Because scar tissue doesn't conduct electricity, it interferes with stray electrical impulses that cause some types of arrhythmia.
The procedure is effective, but because it requires surgery, it's usually reserved for people who don't respond to other treatments or for those who are having heart surgery for other reasons.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_7_ctLink_7"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20155138"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Your doctor may suggest that, in addition to other treatments, you make lifestyle changes that will keep your heart as healthy as possible.
These lifestyle changes may include:
Research is ongoing regarding the effectiveness of several forms of complementary and alternative medical therapies for arrhythmia.
Some types of complementary and alternative therapies may be helpful to reduce stress, such as:
Some studies have shown that acupuncture may help reduce irregular heart rates in certain arrhythmias, but further research is needed.
The role of omega-3 fatty acids, a nutrient found mostly in fish, in the prevention and treatment of arrhythmias isn't yet clear. But it appears as though this substance may be helpful in preventing and treating some arrhythmias.
If you think you may have a heart arrhythmia, make an appointment with your family doctor. If a heart arrhythmia is found early, your treatment may be easier and more effective. Eventually, however, you may be referred to a doctor trained in heart conditions (cardiologist).
If your heart arrhythmia persists for more than a few minutes or is accompanied by fainting, shortness of breath or chest pain, call 911 or your local emergency number or have someone drive you to the nearest emergency room.
Because appointments can be brief, and because there's often a lot to discuss, it's a good idea to be prepared for your appointment. Here's some information to help you get ready for your appointment, and what to expect from your doctor.
Your time with your doctor is limited, so preparing a list of questions will help you make the most of your time together. List your questions from most important to least important in case time runs out. For heart arrhythmias, some basic questions to ask your doctor include:
Your doctor is likely to ask you a number of questions. Being ready to answer them may reserve time to go over any points you want to spend more time on. Your doctor may ask:"
Ataxia,"If you have ataxia, your doctor will look for a treatable cause. Besides conducting a physical exam and a neurological exam, including checking your memory and concentration, vision, hearing, balance, coordination, and reflexes, your doctor might request laboratory tests, including:
There's no treatment specifically for ataxia. In some cases, treating the underlying cause resolves the ataxia, such as stopping medications that cause it. In other cases, such as ataxia that results from chickenpox or other viral infection, it's likely to resolve on its own. Your doctor might recommend treatment to manage symptoms, such as pain, fatigue or dizziness or adaptive devices or therapies to help with your ataxia.
Ataxia caused by conditions such as multiple sclerosis or cerebral palsy might not be treatable. In that case, your doctor may be able to recommend adaptive devices. They include:
You might benefit from certain therapies, including:
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_5_ctLink_5"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20251938"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
The challenges you face when living with ataxia or having a child with the condition might make you feel alone or lead to depression and anxiety. Talking to a counselor or therapist might help. Or you might find encouragement and understanding in a support group, either for ataxia or for your underlying condition, such as cancer or multiple sclerosis.
Although support groups aren't for everyone, they can be good sources of information. Group members often know about the latest treatments and tend to share their own experiences. If you're interested, your doctor might be able to recommend a group in your area.
You're likely to start by seeing your family doctor or a general practitioner. In some cases, your doctor may refer you to a neurologist.
Here's some information to help you get ready for your appointment.
When you make the appointment, ask if there's anything you need to do in advance, such as fasting before having a specific test. Make a list of:
Take a family member or friend along, if possible, to help you remember the information you get.
For ataxia, basic questions to ask your doctor include:
Don't hesitate to ask other questions.
Your doctor is likely to ask you questions, such as:
Don't drink alcohol or take recreational drugs, which can make your ataxia worse."
Autism spectrum disorder,"Your child's doctor will look for signs of developmental delays at regular checkups. If your child shows any symptoms of autism spectrum disorder, you'll likely be referred to a specialist who treats children with autism spectrum disorder, such as a child psychiatrist or psychologist, pediatric neurologist, or developmental pediatrician, for an evaluation.
Because autism spectrum disorder varies widely in symptoms and severity, making a diagnosis may be difficult. There isn't a specific medical test to determine the disorder. Instead, a specialist may:
No cure exists for autism spectrum disorder, and there is no one-size-fits-all treatment. The goal of treatment is to maximize your child's ability to function by reducing autism spectrum disorder symptoms and supporting development and learning. Early intervention during the preschool years can help your child learn critical social, communication, functional and behavioral skills.
The range of home-based and school-based treatments and interventions for autism spectrum disorder can be overwhelming, and your child's needs may change over time. Your health care provider can recommend options and help identify resources in your area.
If your child is diagnosed with autism spectrum disorder, talk to experts about creating a treatment strategy and build a team of professionals to meet your child's needs.
Treatment options may include:
In addition to autism spectrum disorder, children, teens and adults can also experience:
Children with autism spectrum disorder typically continue to learn and compensate for problems throughout life, but most will continue to require some level of support. Planning for your child's future opportunities, such as employment, college, living situation, independence and the services required for support can make this process smoother.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_5_ctLink_5"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20306122"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Because autism spectrum disorder can't be cured, many parents seek alternative or complementary therapies, but these treatments have little or no research to show that they're effective. You could, unintentionally, reinforce negative behaviors. And some alternative treatments are potentially dangerous.
Talk with your child's doctor about the scientific evidence of any therapy that you're considering for your child.
Examples of complementary and alternative therapies that may offer some benefit when used in combination with evidence-based treatments include:
Some complementary and alternative therapies may not be harmful, but there's no evidence that they're helpful. Some may also include significant financial cost and be difficult to implement. Examples of these therapies include:
Some complementary and alternative treatments do not have evidence that they are beneficial and they're potentially dangerous. Examples of complementary and alternative treatments that are not recommended for autism spectrum disorder include:
Raising a child with autism spectrum disorder can be physically exhausting and emotionally draining. These suggestions may help:
Your child's health care provider will look for developmental problems at regular checkups. Mention any concerns you have during your appointment. If your child shows any signs of autism spectrum disorder, you'll likely be referred to a specialist who treats children with the disorder for an evaluation.
Bring a family member or friend with you to the appointment, if possible, to help you remember information and for emotional support.
Here's some information to help you prepare for your appointment.
Before your child's appointment, make a list of:
In addition, it may be helpful to bring:
Questions to ask your child's doctor may include:
Don't hesitate to ask other questions during your appointment.
Your child's doctor is likely to ask you a number of questions. Be ready to answer them to reserve time to go over any points you want to focus on. Your doctor may ask:"
