web-scraper-order,web-scraper-start-url,Disease,Disease-href,Symptoms
1576022485-4919,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,"Fluid retention, causing swelling in your legs, ankles or feet"
1576022291-4375,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Thoracic aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188,Back pain
1576022121-3917,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autonomic neuropathy,https://www.mayoclinic.org/diseases-conditions/autonomic-neuropathy/symptoms-causes/syc-20369829,"Dizziness and fainting when standing, caused by a sudden drop in blood pressure (orthostatic hypertension)."
1576022505-4967,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Enlarged tongue
1576022425-4752,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],"Macular degeneration, dry",https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,Decreased intensity or brightness of colors
1576022289-4373,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,"Blood vessels in other parts of your body, such as your legs, groin or neck (peripheral aneurysm)"
1576022197-4118,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Takayasu's arteritis,https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/symptoms-causes/syc-20351335,Unintended weight loss
1576022429-4754,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,"Are flat, oval areas of increased pigmentation"
1576022236-4236,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Social anxiety disorder,https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/symptoms-causes/syc-20353561,Avoiding doing things or speaking to people out of fear of embarrassment
1576022254-4300,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Dry or yellowish skin
1576022489-4934,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Guillain-Barré syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,Rapid heart rate
1576022299-4396,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,Numbness or tingling in your hands and feet
1576022289-4371,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,The section of aorta that passes through your chest (thoracic aortic aneurysm)
1576022203-4135,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Arteriovenous fistula,https://www.mayoclinic.org/diseases-conditions/arteriovenous-fistula/symptoms-causes/syc-20369567,"Purplish, bulging veins that you can see through your skin, similar to varicose veins"
1576022144-3998,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,Fatigue
1576022334-4517,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360,Difficulty learning new information following the onset of amnesia (anterograde amnesia)
1576022123-3925,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autoimmune pancreatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-pancreatitis/symptoms-causes/syc-20369800,Dark urine
1576022324-4478,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,Shortness of breath
1576022469-4860,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Drug addiction (substance use disorder),https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112,"Continuing to use the drug, even though you know it's causing problems in your life or causing you physical or psychological harm"
1576022388-4687,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Churg-Strauss syndrome,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,Severe abdominal pain
