Hospital_Name,Location,Doctor_Name,Doctor_Specialization,Doctor_Timings,Doctor_Fees,Doctor_Rating
Dharmadhikari Ayurveda Clinic and Research Center,Vileparle East,Dr. Swapnil Dharmadhikari,Ayurveda,Sun03:00 PM-05:00 PM,500,5
Dental Speciality Care,Chembur,Dr. Siddarth Naik,Dentist,"Mon-Sat09:30 AM-01:00 PM, 04:30 PM-08:30 PM",300,5
Apollo Spectra Hospitals,Tardeo,Dr. Sujit Korday,Orthopedist,"Tue, Thu05:00 PM-06:00 PM","1,000",4
Ageless Medica Health Management Pvt. Ltd.,Powai,Ms. Parita Shah,Counselling Psychologist,Mon-Fri05:00 PM-06:00 PM,"1,600",4.5
Dr Pandey's Prime ENT Clinic,Andheri West,Dr. Shailesh Pandey,ENT/ Otorhinolaryngologist,Mon-Sat12:00 PM-02:30 PM,"1,000",5
Dr L H Hiranandani Hospital,Powai,Dr. Irfan Khan,Cardiologist,"Mon, Wed, Fri02:30 PM-06:00 PMTue10:00 AM-02:15 PM, 06:15 PM-07:30 PMSat10:00 AM-02:15 PMshow more","1,800",3.5
Saraogi Hospital & IRIS IVF Centre,Malad West,Dr. Mohit R Saraogi,Infertility Specialist,Mon-Sat10:30 AM-08:00 PM,700,4.5
Smile Centre Dental Clinic,Bhandup West,Dr. Jyotsna Patel,Dentist,"Mon-Tue, Thu-Sat09:30 AM-01:00 PM, 05:30 PM-09:00 PMWed09:30 AM-01:00 PM, 05:00 PM-09:00 PMshow more",200,5
Apollo Spectra Hospitals,Chembur,Dr. Pravin Gore,General Surgeon,"Mon, Fri01:00 PM-02:00 PM","1,500",4.5
Perfect smile clinic,Dadar West,Dr. Uday B Shetty,Cosmetic/Aesthetic Dentist,"Mon-Fri09:30 AM-01:30 PM, 05:00 PM-08:00 PMSat09:30 AM-01:30 PMshow more",500,5
Apollo Spectra Hospitals,Chembur,Dr. Kaustubh Ravindra Durve,Orthopedist,"Tue, Thu06:30 PM-07:30 PMSat11:00 AM-12:00 PMshow more","1,500",4.5
Vivanta Hospital,Malad West,Dr. Anuj Singh,Joint Replacement Surgeon,Mon-Fri01:30 PM-02:30 PM,700,4.5
The Childrens Hospital Mumbai,Malad West,Dr. Jalpa Shah   (Physiotherapist),Pediatric Physiotherapist,Mon-Fri02:30 PM-03:30 PM,600,4
Skinfiniti Cosmetic and Laser Clinic,Khar West,Dr. Jaishree Sharad,Cosmetologist,"Mon, Wed, Fri11:00 AM-07:00 PM","3,000",5
Anjum's Diet & Wellness,Andheri West,Ms. Anjum Shaikh,Dietitian/Nutritionist,Mon-Sat06:00 PM-08:30 PM,500,5
Smile Studio Dental Clinic,Worli,Dr. Manisha Mehta,Cosmetic/Aesthetic Dentist,"Mon, Wed, Fri04:30 PM-08:30 PMTue, Thu, Sat09:30 AM-01:00 PMshow more",null,5
Shreeji Eye Clinic,Andheri East,Dr. Rajul S. Parikh,Ophthalmologist/ Eye Surgeon,"Mon-Tue, Thu09:30 AM-11:00 AM, 03:00 PM-07:30 PMWed04:00 PM-07:30 PMFri-Sat09:30 AM-11:00 AM, 02:00 PM-07:00 PMshow more",550,5
Gala Skin & Hair Clinic,Matunga,Dr. Prasad Wankhede,Dermatologist,"Mon, Wed, Fri05:00 PM-07:00 PM","1,000",5
Alankrit Physiotherapy N Fitness,Kandivali West,Dr. Neelu Jain   (Physiotherapist),Physiotherapist,"Mon-Sat08:00 AM-02:00 PM, 02:15 PM-10:00 PM",500,5
Parakh Hospital,Ghatkopar,Dr. Parag Vibhakar,Plastic Surgeon,null,800,4.5
Unlimited Potentialities,Borivali West,Dr. Gaurav Kulkarni,Psychiatrist,"Tue, Thu, Sat10:00 AM-03:00 PM","2,000",4.5
Shrishti Fertility Care Centre and Women Clinic,Goregaon East,Dr. Manmohan Kamat,General Surgeon,null,800,4.5
Global Hospitals,Parel,Dr. Suresh Jain,General Physician,Thu09:00 AM-11:00 AM,"1,750",4
Parakh Hospital,Ghatkopar,Dr. Chandrashekhar Munjewar,Cardiologist,null,null,4.5
Vivanta Hospital,Malad West,Dr. Umang Kothari,Plastic Surgeon,null,"1,500",4.5
The Dental Studio,Goregaon East,Dr. Chitrang Thaker,Dentist,"Mon-Fri10:30 AM-01:00 PM, 05:00 PM-09:00 PMSat10:30 AM-02:00 PMshow more",300,5
HEAL Institute,Khar West,Dr. Akshata Dorkadi   (Physiotherapist),Physiotherapist,Mon-Sat10:00 AM-06:00 PM,800,5
Eye Solutions - The complete eye hospital,Tardeo,Dr. Rupali Sinha,Ophthalmologist/ Eye Surgeon,null,"1,000",5
Alankrit Physiotherapy N Fitness,Kandivali West,Dr. Gaurav Jain   (Physiotherapist),Physiotherapist,"Mon-Sat08:00 AM-01:00 PM, 03:00 PM-09:30 PM",500,5
Global Hospitals,Parel,Dr. Uday Khopkar,Cosmetologist,"Tue, Thu12:30 PM-01:30 PM","1,750",4
Rotunda - The Center for Human Reproduction,Parel,Dr. Ameya Sirsat,Gynecologist,null,"1,000",4.5
Wockhardt Hospitals,Mira Road,Dr. Sandeep Sharma,Internal Medicine,Mon-Sat11:00 AM-07:00 PM,800,4
Unlimited Potentialities,Borivali West,Ms. Pooja Sharma,Psychologist,Mon-Sat02:00 PM-08:00 PM,"2,000",4.5
