,_id,Doctor_Name,Location,Doctor_Specialization,Hospital_Name
0,5e5d772fb0e65991f861a3a5,Dr. Swapnil Dharmadhikari,Vileparle East,Ayurveda,Dharmadhikari Ayurveda Clinic and Research Center
1,5e5d772fb0e65991f861a3a6,Dr. Siddarth Naik,Chembur,Dentist,Dental Speciality Care
2,5e5d772fb0e65991f861a3a7,Dr. Sujit Korday,Tardeo,Orthopedist,Apollo Spectra Hospitals
3,5e5d772fb0e65991f861a3a8,Ms. Parita Shah,Powai,Counselling Psychologist,Ageless Medica Health Management Pvt. Ltd.
4,5e5d772fb0e65991f861a3a9,Dr. Shailesh Pandey,Andheri West,ENT/ Otorhinolaryngologist,Dr Pandey's Prime ENT Clinic
5,5e5d772fb0e65991f861a3aa,Dr. Irfan Khan,Powai,Cardiologist,Dr L H Hiranandani Hospital
6,5e5d772fb0e65991f861a3ab,Dr. Mohit R Saraogi,Malad West,Infertility Specialist,Saraogi Hospital & IRIS IVF Centre
7,5e5d772fb0e65991f861a3ac,Dr. Jyotsna Patel,Bhandup West,Dentist,Smile Centre Dental Clinic
8,5e5d772fb0e65991f861a3ad,Dr. Pravin Gore,Chembur,General Surgeon,Apollo Spectra Hospitals
9,5e5d772fb0e65991f861a3ae,Dr. Uday B Shetty,Dadar West,Cosmetic/Aesthetic Dentist,Perfect smile clinic
10,5e5d772fb0e65991f861a3af,Dr. Kaustubh Ravindra Durve,Chembur,Orthopedist,Apollo Spectra Hospitals
11,5e5d772fb0e65991f861a3b0,Dr. Anuj Singh,Malad West,Joint Replacement Surgeon,Vivanta Hospital
12,5e5d772fb0e65991f861a3b1,Dr. Jalpa Shah   (Physiotherapist),Malad West,Pediatric Physiotherapist,The Childrens Hospital Mumbai
13,5e5d772fb0e65991f861a3b2,Dr. Jaishree Sharad,Khar West,Cosmetologist,Skinfiniti Cosmetic and Laser Clinic
14,5e5d772fb0e65991f861a3b3,Ms. Anjum Shaikh,Andheri West,Dietitian/Nutritionist,Anjum's Diet & Wellness
15,5e5d772fb0e65991f861a3b4,Dr. Manisha Mehta,Worli,Cosmetic/Aesthetic Dentist,Smile Studio Dental Clinic
16,5e5d772fb0e65991f861a3b5,Dr. Rajul S. Parikh,Andheri East,Ophthalmologist/ Eye Surgeon,Shreeji Eye Clinic
17,5e5d772fb0e65991f861a3b6,Dr. Prasad Wankhede,Matunga,Dermatologist,Gala Skin & Hair Clinic
18,5e5d772fb0e65991f861a3b7,Dr. Neelu Jain   (Physiotherapist),Kandivali West,Physiotherapist,Alankrit Physiotherapy N Fitness
19,5e5d772fb0e65991f861a3b8,Dr. Parag Vibhakar,Ghatkopar,Plastic Surgeon,Parakh Hospital
20,5e5d772fb0e65991f861a3b9,Dr. Gaurav Kulkarni,Borivali West,Psychiatrist,Unlimited Potentialities
21,5e5d772fb0e65991f861a3ba,Dr. Manmohan Kamat,Goregaon East,General Surgeon,Shrishti Fertility Care Centre and Women Clinic
22,5e5d772fb0e65991f861a3bb,Dr. Suresh Jain,Parel,General Physician,Global Hospitals
23,5e5d772fb0e65991f861a3bc,Dr. Chandrashekhar Munjewar,Ghatkopar,Cardiologist,Parakh Hospital
24,5e5d772fb0e65991f861a3bd,Dr. Umang Kothari,Malad West,Plastic Surgeon,Vivanta Hospital
25,5e5d772fb0e65991f861a3be,Dr. Chitrang Thaker,Goregaon East,Dentist,The Dental Studio
26,5e5d772fb0e65991f861a3bf,Dr. Akshata Dorkadi   (Physiotherapist),Khar West,Physiotherapist,HEAL Institute
27,5e5d772fb0e65991f861a3c0,Dr. Rupali Sinha,Tardeo,Ophthalmologist/ Eye Surgeon,Eye Solutions - The complete eye hospital
28,5e5d772fb0e65991f861a3c1,Dr. Gaurav Jain   (Physiotherapist),Kandivali West,Physiotherapist,Alankrit Physiotherapy N Fitness
29,5e5d772fb0e65991f861a3c2,Dr. Uday Khopkar,Parel,Cosmetologist,Global Hospitals
30,5e5d772fb0e65991f861a3c3,Dr. Ameya Sirsat,Parel,Gynecologist,Rotunda - The Center for Human Reproduction
31,5e5d772fb0e65991f861a3c4,Dr. Sandeep Sharma,Mira Road,Internal Medicine,Wockhardt Hospitals
32,5e5d772fb0e65991f861a3c5,Ms. Pooja Sharma,Borivali West,Psychologist,Unlimited Potentialities
33,5e5d772fb0e65991f861a3c6,Dr. Soniya Choithani   (Physiotherapist),Colaba,Physiotherapist,HEAL Institute
34,5e5d772fb0e65991f861a3c7,Dr. Arun Sheth,Ghatkopar,Plastic Surgeon,Parakh Hospital
35,5e5d772fb0e65991f861a3c8,Dr. Sashikant Parchure,Dadar East,Gynecologist,Parchure Nursing Home
36,5e5d772fb0e65991f861a3c9,Dr. Priyam Bhagat,Goregaon East,Dermatologist,Finesse
37,5e5d772fb0e65991f861a3ca,Ms. Suruchi Kothari,Borivali West,Clinical Psychologist,Unlimited Potentialities
38,5e5d772fb0e65991f861a3cb,Dr. Amit Bhat,Goregaon West,Urologist,SRV Hospital
39,5e5d772fb0e65991f861a3cc,Dr. Shruti Purohit,Andheri East,Oral And MaxilloFacial Surgeon,Identity Dental Lounge
