Disease_Name,Drug_Name,General_Information,Side_Effects,Additional_Information,Mechanism_of_Action
Ear Infections,Cedax (ceftibuten),"General Information
Clinical studies have demonstrated that Cedax is active against a broad spectrum of bacteria that are common causes of upper and lower respiratory tract infections. These include most strains of Haemophilus influenzae, Moraxella catarrhalis, Streptococcus pneumoniae, and Streptococcus pyogenes. Cedax is highly stable in the presence of beta-lactamases--enzymes produced by bacteria that can render some commonly used antibiotics, such as amoxicillin or penicillin, ineffective.
","Side Effects
Clinical trials revealed a very low incidence of gastrointestinal side effects, including diarrhea.
","Additional Information
Acute otitis media is the most commonly diagnosed infection among children today. By age three, 84 percent of all children will have experienced at least one episode of acute otitis media, and nearly 50 percent will have had three or more episodes.
Acute bacterial exacerbation of chronic bronchitis is a bacterial infection that frequently occurs in chronic bronchitis subjects. According to the American Lung Association, chronic bronchitis affects at least 13.8 million Americans.",
Ear Infections,Floxin otic,"General Information
Floxin otic (ofloxacin otic solution) has been approved for the treatment of various forms of otitis media in pediatric and adult patient populations. Labeling directs otitis externa pediatric patients, one to 12 years old, to take five drops instilled into the affected ear twice daily for ten days. Patients 12 years and older should take ten drops twice daily for ten days.
","Side Effects
Side effects reported during clinical trials included pruritis, application site reaction, dizziness, earache, taste perversion, and vertigo.",,
Ear Infections,Xtoro (finafloxacin otic suspension) 0.3%,"General Information
Xtoro (finafloxacin otic suspension) 0.3%) is a fluoroquinolone antimicrobial.
Xtoro is specifically indicated for the treatment of acute otitis externa caused by susceptible strains of Pseudomonas aeruginosa and Staphylococcus aureus.
Xtoro is supplied as a solution for topical administration. The recommended initial dose is as follows: Instill four drops in the affected ear(s) twice daily for seven days. For patients requiring use of an otowick, the initial dose can be doubled (to 8 drops), followed by 4 drops instilled into the affected ear twice daily for seven days.
Clinical Results
FDA Approval
The FDA approval of Xtoro was based on two randomized multicenter, vehicle controlled clinical trials. Xtoro dosed four drops twice daily for 7 days was superior to its vehicle for both clinical and microbiological outcomes, as well as in time to cessation of ear pain in patients with acute otitis externa. Among 560 patients (161 with an otowick) that were pathogen positive (baseline microbiological specimen that contained Staphylococcus aureus and/or Pseudomonas aeruginosa), clinical cure on Day 11 was 71% in Xtoro versus 37% in Vehicle. Among 1,234 patients who received study treatment (Intent to Treat population (ITT)), aged 6 months to 85 years, clinical cures were 71% for Xtoro and 50% in Vehicle.
","Side Effects
Adverse effects associated with the use of Xtoro may include, but are not limited to, the following:
ear pruritus
nausea
","Additional Information
For additional information regarding Xtoro or acute otitis externa, please visit www.alcon.com","Mechanism of Action
Xtoro (finafloxacin otic suspension) 0.3%) is a fluoroquinolone antimicrobial. The fluoroquinolone class of antibacterials inhibit bacterial type II topoisomerase enzymes, DNA gyrase and topoisomerase IV, which are required for bacterial DNA replication, transcription, repair and recombination.
"
Ear Infections (Pediatric),Otiprio (ciprofloxacin otic suspension),"General Information
Otiprio is an oral suspension of ciprofloxacin, a fluoroquinolone antibacterial.
Otiprio is specifically indicated as a single dose treatment for pediatric patients with bilateral otitis media with effusion undergoing tympanostomy tube placement.
Otiprio is supplied as a suspension for intratympanic administration. The recommended dose is a single intratympanic administration of one 0.1 mL (6 mg) dose into each affected ear, following suctioning of middle ear effusion.
Clinical Results
FDA Approval
The FDA approval of Otiprio was based on two phase III randomized, multicenter, controlled clinical trials in 532 pediatric patients with bilateral otitis media with effusion undergoing myringotomy with tympanostomy tube placement. The efficacy endpoint for both trials was the cumulative proportion of study treatment failures through Day 15, defined as the occurrence of any of the following events: otorrhea as determined by a blinded assessor on or after 3 days post-surgery, otic or systemic antibacterial drug use for any reason any time post-surgery, as well as patients who missed visits or were lost-to-follow-up. Data showed a single intraoperative administration of Otiprio demonstrated a statistically significant reduction in the cumulative proportion of study treatment failures compared to tubes alone (p-value <0.001).
","Side Effects
Adverse effects associated with the use of Otiprio may include, but are not limited to, the following:
nasopharyngitis
irritability
","Additional Information
For additional information regarding Otiprio or bilateral otitis media with effusion in pediatrics undergoing tympanostomy tube placement, please visit http://otiprio.com/","Mechanism of Action
Otiprio is an oral suspension of ciprofloxacin, a fluoroquinolone antibacterial. The bactericidal action of ciprofloxacin results from interference with the enzyme DNA gyrase, which is needed for the synthesis of bacterial DNA.
"
Ear Infections (Pediatric),Rocephin,"General Information
Hoffmann-LaRoche's antibiotic Rocephin (ceftriaxone sodium) has been approved as a one dose injection for the treatment of bacterial otitis media in children. The drug was previously approved for use as a 10-day multiple dose oral treatment.
Clinical Results
In clinical trials involving 2.450 children demonstrated that the drug, when administered intramuscularly as a single dose, is comparable to standard 10-day multiple dose oral treatments. The injectable form was found to be 100% effective in eradicating Hemophilus influenzae, Moraxella catarrhalis and susceptible Streptococcus pneumoniae.",,,
Effects of Chemotherapy,Akynzeo (netupitant and palonosetron),"General Information
Akynzeo is a fixed combination of netupitant, a substance P/neurokinin 1 (NK1) receptor antagonist, and palonosetron, a serotonin-3 (5-HT3) receptor antagonist. Oral palonosetron prevents nausea and vomiting during the acute phase and netupitant prevents nausea and vomiting during both the acute and delayed phase after cancer chemotherapy.
Akynzeo is specifically indicated for the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of cancer chemotherapy, including, but not limited to, highly emetogenic chemotherapy.
Akynzeo is supplied as a capsule for oral administration. Akynzeo should be administered approximately 1 hour prior to the start of chemotherapy, woth or without food.
Clinical Results
FDA Approval
The FDA approval of Akynzeo was based on two trials.
Trial One
In a multicenter, randomized, parallel, double-blind, controlled clinical trial of 694 patients, the efficacy and safety of a single dose of oral netupitant in combination with oral palonosetron was compared with a single oral dose of palonosetron in cancer patients receiving a chemotherapy regimen that included cisplatin (median dose=75 mg/m2). The efficacy of Akynzeo was assessed in 135 patients who received Akynzeo (netupitant 300 mg and palonosetron 0.5 mg) and 136 patients who received oral palonosetron 0.5 mg. The efficacy endpoints were complete response (CR) (defined as no emetic episode and no use of rescue medication) for the 25-120 hour interval (delayed phase), CR for the 0-24 hour interval (acute phase), and CR within 120 hours (overall phase) after the start of the chemotherapy administration.
Complete Response- Delayed Phase: Akynzeo 90.4% and Palonosetron 80.1% (p-0.032)
Complete Response- Acute Phase: Akynzeo 98.5% and Palonosetron 89.7% (p- 0.002)
Complete Response- Overall Phase: Akynzeo 89.6% and Palonosetron 76.5% (p- 0.003)
Trial Two
In a multicenter, randomized, parallel, double-blind, active controlled, superiority trial, the efficacy and safety of a single oral dose of Akynzeo was compared with a single oral dose of palonosetron 0.5 mg in cancer patients scheduled to receive the first cycle of an anthracycline and cyclophosphamide (AC) regimen for the treatment of a solid malignant tumor. All patients received a single oral dose of dexamethasone. After completion of cycle 1, patients had the option to participate in a multiple-cycle extension, receiving the same treatment as assigned in cycle 1. There was no pre-specified limit of the number of repeat consecutive cycles for any patient. A total of 1455 patients were randomized to the Akynzeo arm or palonosetron arm. A total of 1450 patients (Akynzeo n=725; palonosetron n=725) received study medication: of these, 1438 patients (98.8%) completed cycle 1 and 1286 patients (88.4%) continued treatment in the multiple-cycle extension. A total of 907 patients (62.3%) completed the multiple-cycle extension up to a maximum of eight treatment cycles. The primary efficacy endpoint was the CR rate in the delayed phase, 25-120 hours after the start of chemotherapy administration. Complete response in the Delayed Phase was achieved by 76.9% of the subjects in the Akynzeo arm and 69.5% in the Palonosetron arm (p - 0.001).
","Side Effects
Adverse effects associated with the use of Akynzeo may include, but are not limited to, the following:
headache
asthenia
dyspepsia
fatigue
constipation
erythema
","Additional Information
For additional information regarding Akynzeo or chemotherapy-induced nausea and vomiting, please visit www.akynzeo.com","Mechanism of Action
Akynzeo is a fixed combination of netupitant and palonosetron. Netupitant is a selective antagonist of human substance P/neurokinin 1 (NK1) receptors. Delayed emesis has been largely associated with the activation of tachykinin family neurokinin 1 (NK1) receptors (broadly distributed in the central and peripheral nervous systems) by substance P. In in vitro and in vivo studies, netupitant inhibits substance P mediated responses. Palonosetron is a 5-HT3 receptor antagonist with a strong binding affinity for this receptor and little or no affinity for other receptors. Cancer chemotherapy may be associated with a high incidence of nausea and vomiting, particularly when certain agents, such as cisplatin, are used. 5-HT3 receptors are located on the nerve terminals of the vagus in the periphery and centrally in the chemoreceptor trigger zone of the area postrema. Chemotherapeutic agents produce nausea and vomiting by stimulating the release of serotonin from the enterochromaffin cells of the small intestine. Serotonin then activates 5-HT3 receptors located on vagal afferents to initiate the vomiting reflex. The development of acute emesis is known to depend on serotonin and its 5-HT3 receptors have been demonstrated to selectively stimulate the emetic response.
"
Effects of Chemotherapy,Prolia (denosumab),"General Information
Prolia (denosumab) is a fully human monoclonal antibody that specifically binds to and inhibits the receptor activator of NF-kappaB ligand (RANK Ligand), the primary mediator of bone resorption. RANK Ligand is the protein responsible for activating osteoclasts, the cells that break down bone. An increased amount of the protein has been linked as the primary cause of a broad range of bone loss conditions including osteoporosis, treatment-induced bone loss, bone erosions in rheumatoid arthritis (RA), and bone metastases.
Prolia is specifically indicated for the following patients at high risk for fracture, defined as a history of osteoporotic fracture, or multiple risk factors for fracture:
â€¢ Postmenopausal women with osteoporosis at high risk for fracture, or patients who have failed or are intolerant to other available osteoporosis therapy.
â€¢ To increase bone mass in men with osteoporosis at high risk for fracture, or patients who have failed or are intolerant to other available osteoporosis therapy.
â€¢ Glucocorticoid-induced osteoporosis in men and women at high risk of fracture who are either initiating or continuing systemic glucocorticoids in a daily dosage equivalent to 7.5mg or greater of prednisone and expected to remain on glucocorticoids for at least 6months.
â€¢ To increase bone mass in men at high risk for fracture receiving androgen deprivation therapy for non-metastatic prostate cancer.
â€¢ To increase bone mass in women at high risk for fracture receiving adjuvant aromatase inhibitor therapy for breast cancer.
Prolia is supplied as a solution for subcutaneous administration. The recommended initial dose is 60 mg administered as a single subcutaneous injection once every 6 months. Prolia should be administered via subcutaneous injection in the upper arm, the upper thigh, or the abdomen.
Clinical Results
FDA Approval
The FDA approval of Prolia for the treatment of postmenopausal osteoporosis was based on a 3-year, randomized, double-blind, placebo-controlled trial. The trial enrolled 7,808 women aged 60 to 91 years with a baseline BMD T-score between -2.5 and -4.0 at either the lumbar spine or total hip. Women with other diseases or on therapy that affect bone were excluded. The women were randomized to receive SC injections of either placebo or Prolia 60 mg once every 6 months. All women received at least 1000 mg calcium and 400 IU vitamin D supplementation daily. The primary efficacy endpoint was the incidence of new morphometric (radiologically-diagnosed) vertebral fractures at 3 years. Prolia significantly reduced the incidence of new morphometric vertebral fractures at 1, 2, and 3 years. The incidence of new vertebral fractures at year 3 was 7.2% in the placebo-treated women compared to 2.3% for the Prolia-treated women.
The FDA approval of Prolia to increase bone mass in men with osteoporosis was based on a 1-year, randomized, double-blind, placebo-controlled trial. Enrolled men (n=242) had a baseline BMD T-score between -2.0 and -3.5 at the lumbar spine or femoral neck. Men with a BMD T-score between -1.0 and -3.5 at the lumbar spine or femoral neck were also enrolled if there was a history of prior fragility fracture. The subjects were randomized to receive SC injections of either placebo (n=121) or Prolia 60mg (n =121) once every 6 months. All men received at least 1000mg calcium and at least 800IU vitamin D supplementation daily. The primary efficacy variable was percent change in lumbar spine Bone Mineral Density (BMD) from baseline to 1-year. The treatment differences in BMD at 1-year were 4.8% (+0.9% placebo, +5.7% Prolia; at the lumbar spine, 2.0% (+0.3% placebo, +2.4% Prolia) at the total hip, and 2.2% (0.0% placebo, +2.1% Prolia) at femoral neck.
The FDA approval of Prolia in the treatment of patients with glucocorticoid-induced osteoporosis was based on the 12-month primary analysis of a 2-year, randomized, multicenter, double-blind, parallel-group, active-controlled study of 795 patients (70% women and 30% men) aged 20 to 94 years (mean age of 63 years) treated with greater than or equal to 7.5mg/day oral prednisone (or equivalent) for < 3 months prior to study enrollment and planning to continue treatment for a total of at least 6 months (glucocorticoid-initiating subpopulation; n = 290) or â‰¥ 3 months prior to study enrollment and planning to continue treatment for a total of at least 6 months (glucocorticoid-continuing subpopulation, n = 505). Enrolled patients <50 years of age were required to have a history of osteoporotic fracture. Patients were randomized (1:1) to receive either an oral daily bisphosphonate (active-control, risedronate 5mg once daily) (n = 397) or Prolia 60mg subcutaneously once every 6 months (n = 398) for one year. Patients received at least 1000mg calcium and 800IU vitamin D supplementation daily. In the glucocorticoid-initiating subpopulation, Prolia significantly increased lumbar spine BMD compared to the active-control at one year (Active-control 0.8%, Prolia 3.8%) with a treatment difference of 2.9%. In the glucocorticoid-continuing subpopulation, Prolia significantly increased lumbar spine BMD compared to active-control at one year (Active-control 2.3%, Prolia 4.4%) with a treatment difference of 2.2%.
The FDA approval of Prolia in the treatment of bone loss in men with non-metastatic prostate cancer receiving androgen deprivation therapy (ADT) was based on a 3-year, randomized (1:1), double-blind, placebo-controlled, multi-national study conducted in 1,468 men. The mean baseline lumbar spine BMD T-score was -0.4, and 22% of men had a vertebral fracture at baseline. Men were randomized to receive subcutaneous injections of either placebo (n=734) or Prolia 60mg (n=734) once every 6 months for a total of 6 doses. Randomization was stratified by age (<70 years vs. â‰¥70 years) and duration of ADT at trial entry (â‰¤6 months vs. >6 months). Seventy-nine percent of patients received ADT for more than 6months at study entry. All men received at least 1000mg calcium and 400IU vitamin D supplementation daily. The primary efficacy variable was percent change in lumbar spine BMD from baseline to month 24. Lumbar spine BMD was higher at 2 years in Prolia-treated patients as compared to placebo-treated patients [-1.0% placebo, +5.6% Prolia; treatment difference 6.7%].
The FDA approval of Prolia for the treatment of bone loss in women receiving adjuvant aromatase inhibitor (AI) therapy for breast cancer was based on a 2-year, randomized (1:1), double-blind, placebo-controlled, multinational study. Women (n=252) had baseline BMD T-scores between -1.0 to-2.5 at the lumbar spine, total hip, or femoral neck, and had not experienced fracture after age 25. The mean baseline lumbar spine BMD T-score was -1.1,and 2.0% of women had a vertebral fracture at baseline. Women were randomized to receive subcutaneous injections of either placebo (n=125) or Prolia 60mg (n=127) once every 6 months for a total of 4 doses. Randomization was stratified by duration of adjuvant AI therapy at trial entry (â‰¤6months vs. >6months). Sixty-two percent of patients received adjuvant AI therapy for more than 6 months at study entry. All women received at least 1000mg calcium and 400IU vitamin D supplementation daily. The primary efficacy variable was percent change in lumbar spine BMD from baseline to month 12. Lumbar spine BMD was higher at 12 months in Prolia-treated patients as compared to placebo-treated patients [-0.7% placebo, +4.8% Prolia; treatment difference 5.5%].
","Side Effects
Adverse events associated with the use of Prolia for postmenopausal osteoporosis may include, but are not limited to, the following:
Back pain
Pain in extremity
Hypercholesterolemia
Musculoskeletal pain
Cystitis
Pancreatitis
Adverse events associated with the use of Prolia for male osteoporosis may include, but are not limited to, the following:
back pain
arthralgia
nasopharyngitis ï‚·
Adverse events associated with the use of Prolia for glucocorticoid-induced osteoporosis may include, but are not limited to, the following:
back pain
hypertension
bronchitis
headache
Adverse events associated with the use of Prolia for bone loss due to hormone ablation for cancer may include, but are not limited to, the following:
arthralgia
back pain
pain in extremity
musculoskeletal pain
","Additional Information
For additional information regarding Prolia or osteoporosis and menopause related bone loss, please visit the Prolia web page.
Please Visit Inspire's Community Pages for this drug.","Mechanism of Action
Prolia (denosumab) is a fully human monoclonal antibody that binds to RANKL, a transmembrane or soluble protein essential for the formation, function, and survival of osteoclasts, the cells responsible for bone resorption. Prolia prevents RANKL from activating its receptor, RANK, on the surface of osteoclasts and their precursors. Prevention of the RANKL/RANK interaction inhibits osteoclast formation, function, and survival, thereby decreasing bone resorption and increasing bone mass and strength in both cortical and trabecular bone.
Literature References
Brown JP, Prince RL, Deal C, Recker RR, Kiel DP, de Gregorio LH, Hadji P, Hofbauer LC, Alvaro-Gracia JM, Wang H, Austin M, Wagman RB, Newmark R, Libanati C, San Martin J, Bone HG Comparison of the Effect of Denosumab and Alendronate on Bone Mineral Density and Biochemical Markers of Bone Turnover in Postmenopausal Women With Low Bone Mass: A Randomized, Blinded, Phase 3 Trial. Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research 2009 Dec 14:1-34
Lewiecki EM, Miller PD, McClung MR, Cohen SB, Bolognese MA, Liu Y, Wang A, Siddhanti S, Fitzpatrick LA; AMG 162 Bone Loss Study Group Two-year treatment with denosumab (AMG 162) in a randomized phase 2 study of postmenopausal women with low BMD. Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research 2007 Dec;22(12):1832-41
"
Effects of Chemotherapy,Sustol (granisetron),"General Information
Sustol (granisetron) is a serotonin-3 (5-HT3) receptor antagonist.
Sustol is specifically indicated for use in combination with other antiemetics in adults for the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of moderately emetogenic chemotherapy (MEC) or anthracycline and cyclophosphamide (AC) combination chemotherapy regimens.
Sustol is supplied as an extended release injection for subcutaneous use. The recommended dose in adults is 10 mg administered as a single subcutaneous injection at least 30 minutes before the start of emetogenic chemotherapy on Day 1.
Do not administer Sustol more frequently than once every 7 days.
Use of Sustol with successive emetogenic chemotherapy cycles for more than 6 months is not recommended.
See full prescribing information for recommended dosage of concomitant dexamethasone.
Clinical Results
FDA Approval
The FDA approval of Sustol was based on a randomized, multicenter, double-blind, parallel group study. A single 10 mg subcutaneous dose of Sustol was compared to a single 0.25 mg intravenous dose of palonosetron hydrochloride in cancer patients administered moderately emetogenic (MEC) or anthracycline plus cyclophosphamide (AC) combination chemotherapy. Sustol or palonosetron hydrochloride was administered 30 minutes prior to chemotherapy on Day 1. Patients also received either 8 or 20 mg intravenous dexamethasone on Day 1 depending on chemotherapy regimen. Patients who received 20 mg of intravenous dexamethasone also received oral dexamethasone 8 mg twice daily on Days 2, 3, and 4. The primary endpoints were proportion of patients with complete response (CR) [defined as no emetic episodes (vomiting or retching) and no use of rescue medication] during the acute phase (0 to 24 hours) and the delayed phase (>24 to 120 hours) following the administration of chemotherapy in Cycle 1. The study design allowed for assessment of non-inferiority of Sustol to palonosetron hydrochloride in the acute and delayed phase of MEC and of AC combination chemotherapy. Non-inferiority of Sustol to palonosetron hydrochloride was demonstrated in the acute and delayed phases of MEC and of AC combination chemotherapy.
","Side Effects
Adverse effects associated with the use of Sustol may include, but are not limited to, the following:
injection site reactions
constipation
fatigue
headache
diarrhea
abdominal pain
insomnia
dyspepsia
dizziness
asthenia
gastroesophageal reflux
","Additional Information
For additional information regarding Sustol or the prevention of chemotherapy-induced nausea and vomiting, please visit http://sustol.com/","Mechanism of Action
Sustol (granisetron) is a serotonin-3 (5-HT3) receptor antagonist. Serotonin receptors of the 5-HT3 type are located peripherally on vagal nerve terminals and centrally in the chemoreceptor trigger zone of the area postrema. During chemotherapy that induces vomiting, mucosal enterochromaffin cells release serotonin, which stimulates 5-HT3 receptors. This evokes vagal afferent discharge, inducing vomiting. Animal studies demonstrate that, in binding to 5-HT3 receptors, granisetron blocks serotonin stimulation and subsequent vomiting after emetogenic stimuli such as cisplatin.
"
Effects of Chemotherapy,Syndros (dronabinol oral solution),"General Information
Syndros is an orally administered liquid formulation of the pharmaceutical cannabinoid dronabinol, a pharmaceutical version of tetrahydrocannabinol (""THC""). Dronabinol has complex effects on the CNS, including central sympathomimetic activity. Cannabinoid receptors have been discovered in neural tissues. These receptors may play a role in mediating the effects of dronabinol.
Syndros is specifically indicated for 1) anorexia associated with weight loss in patients with Acquired Immune Deficiency Syndrome (AIDS); and 2) nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments.
Syndros is supplied as a solution for oral administration. The recommended dose is as follows:
Anorexia Associated with Weight Loss in Adult Patients with AIDS:
Starting Dosage: The recommended adult starting dosage of Syndros is 2.1 mg orally twice daily, one hour before lunch and one hour before dinner. In elderly patients, consider initiating Syndros at 2.1 mg once daily one hour before dinner or at bedtime to reduce the risk of central nervous system (CNS) symptoms. Dosing later in the day may reduce the frequency of CNS adverse reactions.
Dosage Titration: If tolerated and further therapeutic effect is desired, the dosage may be increased gradually to 2.1 mg one hour before lunch and 4.2 mg one hour before dinner. Increase the dose of Syndros gradually in order to reduce the frequency of dose-related adverse reactions. Most patients respond to 2.1 mg twice daily, but the dose may be further increased to 4.2 mg one hour before lunch and 4.2 mg one hour before dinner, as tolerated to achieve a therapeutic effect. The maximum dosage is 8.4 mg twice daily.
Nausea and Vomiting Associated with Cancer Chemotherapy in Adult Patients Who Failed Conventional Antiemetics:
Starting Dosage: The recommended starting dosage of Syndros is 4.2 mg/m2 orally administered 1 to 3 hours prior to chemotherapy and then every 2 to 4 hours after chemotherapy for a total of 4 to 6 doses per day. In elderly patients, consider initiating Syndros at 2.1 mg/m2 once daily 1 to 3 hours prior to chemotherapy to reduce the risk of CNS symptoms. Because food delays the absorption of Syndros, administer the first dose on an empty stomach at least 30 minutes before eating. Subsequent doses can be taken without regard to meals. Because food can substantially change the systemic exposure to dronabinol and its active metabolite, the timing of dosing in relation to meal times should be kept consistent for each chemotherapy cycle, once the dosage has been determined from the titration process.
Dosage Titration: The dosage can be titrated to clinical response during a chemotherapy cycle or subsequent cycles, based upon initial effect, as tolerated to achieve a clinical effect, in increments of 2.1 mg/m2 . The maximum dosage is 12.6 mg/m2 per dose for 4 to 6 doses per day. Monitor patients for adverse reactions and consider decreasing the dose to 2.1 mg once daily 1 to 3 hours prior to chemotherapy to reduce the risk of CNS adverse reaction.
Clinical Results
FDA Approval
The effectiveness of Syndros has been established based on studies of dronabinol capsules for the treatment of anorexia associated with weight loss in patients with AIDS and nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments.
","Side Effects
Adverse effects associated with the use of Syndros may include, but are not limited to, the following:
dizziness
euphoria
paranoid reaction
somnolence
thinking abnormal
abdominal pain
nausea
vomiting
","Additional Information
For additional information regarding Syndros, please visit http://www.insysrx.com/","Mechanism of Action
Syndros is an orally administered liquid formulation of the pharmaceutical cannabinoid dronabinol, a pharmaceutical version of tetrahydrocannabinol (""THC""). Dronabinol has complex effects on the CNS, including central sympathomimetic activity. Cannabinoid receptors have been discovered in neural tissues. These receptors may play a role in mediating the effects of dronabinol.
"
Effects of Chemotherapy,Varubi (rolapitant),"General Information
Varubi (rolapitant) is a substance P/neurokinin 1 (NK1) receptor antagonist.
Varubi is specifically indicated in combination with other antiemetic agents in adults for the prevention of delayed nausea and vomiting associated with initial and repeat courses of emetogenic cancer chemotherapy, including, but not limited to, highly emetogenic chemotherapy.
Varubi is supplied as a tablet for oral administration. The recommended dose is 180 mg rolapitant administered approximately 1 to 2 hours prior to the start of chemotherapy. Administer in combination with dexamethasone and a 5-HT3 receptor antagonist. No dosage adjustment for dexamethasone is required.
Clinical Results
FDA Approval
The FDA approval of Varubi was based on three clinical trials.
Cisplatin Based Highly Emetogenic Chemotherapy (HEC)
In two multicenter, randomized, double-blind, parallel group, controlled clinical studies (Study 1 and Study 2), the Varubi regimen (Varubi, granisetron and dexamethasone) was compared with control therapy (placebo, granisetron and dexamethasone) in patients receiving a chemotherapy regimen that included cisplatin >60 mg/m2.
Study 1: A total of 532 patients were randomized to either the Varubi regimen (N =266) or control therapy (N =266). A total of 526 patients were included in the evaluation of efficacy. During this study, 82% of the patients received a concomitant chemotherapeutic agent in addition to protocol-mandated cisplatin. The most common concomitant chemotherapeutic agents administered during Cycle 1 were: gemcitabine (17%), paclitaxel (12%), fluorouracil (11%), etoposide (10%), vinorelbine (9%), docetaxel (9%), pemetrexed (7%), doxorubicin (6%) and cyclophosphamide (5%). The mean cisplatin dose was 77 mg/m2. Study 2: A total of 555 patients were randomized to either the Varubi regimen (N =278) or control therapy (N =277). A total of 544 patients were included in the evaluation of efficacy. During this study, 85% of the patients received a concomitant chemotherapeutic agent in addition to protocol-mandated cisplatin. The most common concomitant chemotherapeutic agents administered during Cycle 1 were: vinrorelbine (16%), gemcitabine (15%), fluorouracil (12%), etoposide (11%), pemetrexed (9%), docetaxel (7%), paclitaxel (7%), epirubicin (5%) and capecitabine (4%). The mean cisplatin dose was 76 mg/m2.
Moderately Emetogenic Chemotherapy and Combinations of Anthracycline and Cyclophosphamide Chemotherapy
Study 3: This multicenter, randomized, double-blind, parallel group, controlled clinical study in moderately emetogenic chemotherapy (MEC), the Varubi regimen (Varubi, granisetron and dexamethasone) was compared with control therapy (placebo, granisetron and dexamethasone) in patients receiving a moderately emetogenic chemotherapy regimen that included at least 50% of patients receiving a combination of anthracycline and cyclophosphamide. The percentage of patients who received carboplatin in Cycle 1 was 30%. A total of 1369 patients were randomized to either the Varubi regimen (N = 684) or control therapy (N = 685). A total of 1332 patients were included in the evaluation of efficacy.
Results:
The primary endpoint in both studies was complete response (defined as no emetic episodes and no rescue medication) in the delayed phase (25 to 120 hours) of chemotherapy induced nausea and vomiting.
HEC Study 1: 72.7% versus 58.4% (p<0.001).
HEC Study 2: 70.1% versus 61.9% (p-0.043).
MEC Study 3: 71.3% versus 61.6% (p<0.001).
","Side Effects
Adverse effects associated with the use of Varubi may include, but are not limited to, the following:
Cisplatin Based Highly Emetogenic Chemotherapy:
neutropenia
hiccups
Moderately Emetogenic Chemotherapy and Combinations of Anthracycline and Cyclophosphamide:
decreased appetite
neutropenia
dizziness
","Additional Information
For additional information regarding Varubi or chemotherapy-induced nausea and vomiting, please visit http://www.tesarobio.com/","Mechanism of Action
Varubi (rolapitant) is a substance P/neurokinin 1 (NK1) receptor antagonist. Rolapitant does not have significant affinity for the NK2 or NK3 receptors or for a battery of other receptors, transporters, enzymes and ion channels. Rolapitant is also active in animal models of chemotherapy-induced emesis.
"
