Hospital_Name,Hospital_Location
Dharmadhikari Ayurveda Clinic and Research Center,Vileparle East
Dental Speciality Care,Chembur
Apollo Spectra Hospitals,Tardeo
Ageless Medica Health Management Pvt. Ltd.,Powai
Dr Pandey's Prime ENT Clinic,Andheri West
Dr L H Hiranandani Hospital,Powai
Saraogi Hospital & IRIS IVF Centre,Malad West
Smile Centre Dental Clinic,Bhandup West
Perfect smile clinic,Dadar West
Vivanta Hospital,Malad West
The Childrens Hospital Mumbai,Malad West
Skinfiniti Cosmetic and Laser Clinic,Khar West
Anjum's Diet & Wellness,Andheri West
Smile Studio Dental Clinic,Worli
Shreeji Eye Clinic,Andheri East
Gala Skin & Hair Clinic,Matunga
Alankrit Physiotherapy N Fitness,Kandivali West
Parakh Hospital,Ghatkopar
Unlimited Potentialities,Borivali West
Shrishti Fertility Care Centre and Women Clinic,Goregaon East
Global Hospitals,Parel
The Dental Studio,Goregaon East
HEAL Institute,Khar West
Eye Solutions - The complete eye hospital,Tardeo
Rotunda - The Center for Human Reproduction,Parel
Wockhardt Hospitals,Mira Road
Parchure Nursing Home,Dadar East
Finesse,Goregaon East
SRV Hospital,Goregaon West
Identity Dental Lounge,Andheri East
Physio Wellness,Andheri East
Sushrut Hospital and Research Center,Chembur East
Dr Zeenats Skin Clinic,Andheri West
Pooja Maternity Nursing Home & Ent Center,Ghatkopar West
Irla Nursing Home & Polyclinic,Vileparle West
Reflectionz Clinic,Kandivali East
Skin N Sculpt,Andheri East
Aavishkar Centre For Self Enrichment,Dadar West
Smile Again,Dadar East
Dr. Khandeparkar's  Infertility and IVF Centre,Dadar East
Dr. Gupte's Clinic,Kandivali East
Gurukrupa Advanced Dental Care Center,Malad West
I Sight Eyecare And Surgery,Khar West
Fortis Hospital,Mulund West
Dr. Nishant's Dental Surgeons Planet,Powai
Dr ABR Desai ENT Clinic,Charni Road
Clear Vision Eye Clinic,Wadala
Goradia Ayurvedic Clinic.,Grant Road
Dr. Vora's Dental Care,Mulund West
Krishna Eye Centre,Parel
Om Shanti Clinic,Jogeshwari East
Dr Muffi's Digestive Health Institute,Worli
Exercise Clinic,Andheri West
Jupiter Hospital Speciality Clinic,Mulund West
S L Raheja Fortis Hospital,Mahim
Utture Urology Clinic,Mahim
HPE India - Advance Physiotherapy Studio,Bandra West
Smile n Shine Advanced Dental Clinic,Kandivali West
Dr. Shruti's Dental Clinic,Goregaon West
Aditi Hospital,Mulund West
Ambrosia Aesthetics,Andheri West
RheumDerma Clinic,Prabhadevi
The Skin Clinic,Goregaon East
Ayushakti Ayurved  Health Centre,Vileparle
Harleys Cosmetic & Women Clinic,Andheri West
Aharayogam,Mulund West
KRS Derma Care,Kandivali West
Desai Orthopedics and ENT Clinic,Borivali West
The Bombay Skin Clinic,Girgaon
Stride Fitness and Mobility Clinic,Vileparle East
The Dental Hub,Goregaon West
Dr. Naazneen's Psychiatric Centre,Andheri West
Dr Sheth's Skin And Hair Clinic,Juhu
PhysioWorld,Chembur
Speciality Dental Centre & Dental Implants,Dahisar East
Navkar Dental Care And Implant Centre & Navkar Physiotherapy Centre,Andheri West
Homoeopathic Clinic,Bhandup West
Shishu Child Care Clinic,Andheri East
Shah Superspeciality Clinic,Gamdevi
Dr Ramona's Dental Clinic,Powai
Dr. Nair's Dental and Orthodontic Care,Andheri West
Dr. Lulla's Homeopathy Clinic,Chembur East
Dr. Goel's Clinic,Dadar
Surana Sethia Hospital and Research Center,Chembur
Dr. Deep Parekh's 'Mom & Me' Clinic,Ghatkopar East
Arohi Eye Hospital,Andheri West
Oma Hospital,Chembur
Ayushi Skin Clinic,Andheri West
Clinico Diagnostic India Pvt Ltd,Mulund West
Asthma Allergy Clinic - Siddhi Polyclinic,Andheri West
Oyster Hospital,Goregaon West
Vandita's Dental Care,Goregaon East
Neha Ranglani Clinic,Bandra West
Unique Smile Concepts,Tilak Nagar
Skin Matra,Mahim
Smile Essentials,Bandra West
Dr Gala's Vital Healing Homoeopathic Clinic,Andheri West
Dr. Sana Bhamla Khan's - KYSHHA Skin & Hair Clinic,Andheri West
My Smile Dental Clinic,Andheri West
Total Health Care,Borivali West
Bright 32 Dental Care & Orthodontic Centre,Kandivali East
Mulekar Vitilgo Clinic,Andheri West
Chaitanya Mindcare Centre,Andheri West
Asian Heart Institute And Research Centre,Bandra East
Dent Heal,Bandra West
Winning Smiles Dental Clinic,Kandivali East
Aaditya Care,Mulund East
