,_id,specialization
0,5e5da7592939c46642f0683b,Ayurveda
1,5e5da7592939c46642f0683c,Dentist
2,5e5da7592939c46642f0683d,Orthopedist
3,5e5da7592939c46642f0683e,Counselling Psychologist
4,5e5da7592939c46642f0683f,ENT/ Otorhinolaryngologist
5,5e5da7592939c46642f06840,Cardiologist
6,5e5da7592939c46642f06841,Infertility Specialist
7,5e5da7592939c46642f06842,General Surgeon
8,5e5da7592939c46642f06843,Cosmetic/Aesthetic Dentist
9,5e5da7592939c46642f06844,Joint Replacement Surgeon
10,5e5da7592939c46642f06845,Pediatric Physiotherapist
11,5e5da7592939c46642f06846,Cosmetologist
12,5e5da7592939c46642f06847,Dietitian/Nutritionist
13,5e5da7592939c46642f06848,Ophthalmologist/ Eye Surgeon
14,5e5da7592939c46642f06849,Dermatologist
15,5e5da7592939c46642f0684a,Physiotherapist
16,5e5da7592939c46642f0684b,Plastic Surgeon
17,5e5da7592939c46642f0684c,Psychiatrist
18,5e5da7592939c46642f0684d,General Physician
19,5e5da7592939c46642f0684e,Gynecologist
20,5e5da7592939c46642f0684f,Internal Medicine
21,5e5da7592939c46642f06850,Psychologist
22,5e5da7592939c46642f06851,Clinical Psychologist
23,5e5da7592939c46642f06852,Urologist
24,5e5da7592939c46642f06853,Oral And MaxilloFacial Surgeon
25,5e5da7592939c46642f06854,Nephrologist/Renal Specialist
26,5e5da7592939c46642f06855,Pediatric Dentist
27,5e5da7592939c46642f06856,Homoeopath
28,5e5da7592939c46642f06857,Implantologist
29,5e5da7592939c46642f06858,Cardiothoracic and Vascular Surgeon
30,5e5da7592939c46642f06859,Alternative Medicine
31,5e5da7592939c46642f0685a,Bariatric Surgeon
32,5e5da7592939c46642f0685b,Gastroenterologist
33,5e5da7592939c46642f0685c,Interventional Cardiologist
34,5e5da7592939c46642f0685d,Pediatrician
35,5e5da7592939c46642f0685e,Spine Surgeon
36,5e5da7592939c46642f0685f,Surgical Oncologist
37,5e5da7592939c46642f06860,Hair Transplant Surgeon
38,5e5da7592939c46642f06861,Hematologist
39,5e5da7592939c46642f06862,Orthodontist
40,5e5da7592939c46642f06863,Endodontist
41,5e5da7592939c46642f06864,Radiologist
42,5e5da7592939c46642f06865,Consultant Physician
43,5e5da7592939c46642f06866,Allergist/Immunologist
44,5e5da7592939c46642f06867,Pediatric Cardiologist
45,5e5da7592939c46642f06868,Dentofacial Orthopedist
46,5e5da7592939c46642f06869,Plastic Reconstruction Surgeon
47,5e5da7592939c46642f0686a,Medical Oncologist
48,5e5da7592939c46642f0686b,Prosthodontist
49,5e5da7592939c46642f0686c,Breast Surgeon
50,5e5da7592939c46642f0686d,Rheumatologist
51,5e5da7592939c46642f0686e,Obstetrician
52,5e5da7592939c46642f0686f,Diabetologist
53,5e5da7592939c46642f06870,Sexologist
54,5e5da7592939c46642f06871,Cardiac Surgeon
55,5e5da7592939c46642f06872,Periodontist
56,5e5da7592939c46642f06873,
57,5e5da7592939c46642f06874,Neurosurgeon
58,5e5da7592939c46642f06875,Dental Surgeon
59,5e5da7592939c46642f06876,Educational Psychologist
60,5e5da7592939c46642f06877,Homoeopathic Pediatrician
61,5e5da7592939c46642f06878,Pediatric Surgeon
62,5e5da7592939c46642f06879,Laparoscopic Surgeon
63,5e5da7592939c46642f0687a,Interventional Radiologist
64,5e5da7592939c46642f0687b,Neurologist
65,5e5da7592939c46642f0687c,Sports and Musculoskeletal Physiotherapist
66,5e5da7592939c46642f0687d,Sexologist (Ayurveda)
67,5e5da7592939c46642f0687e,Ultrasonologist
68,5e5da7592939c46642f0687f,Cardiothoracic Surgeon
69,5e5da7592939c46642f06880,Laparoscopic Surgeon (Obs & Gyn)
70,5e5da7592939c46642f06881,Neuro Physiotherapist
71,5e5da7592939c46642f06882,Yoga and Naturopathy
72,5e5da7592939c46642f06883,Paediatric Intensivist
